report_name,report_agency,date,visits,browser,os_version
Windows version and browser,Department of Agriculture,1/27/24,3071,Firefox,10
Windows version and browser,Department of Agriculture,1/27/24,680,Chrome,7
Windows version and browser,Department of Agriculture,1/27/24,431,Opera,10
Windows version and browser,Department of Agriculture,1/27/24,286,Firefox,7
Windows version and browser,Department of Agriculture,1/27/24,159,Chrome,8.1
Windows version and browser,Department of Agriculture,1/26/24,163387,Chrome,10
Windows version and browser,Department of Agriculture,1/26/24,57627,Edge,10
Windows version and browser,Department of Agriculture,1/26/24,5950,Firefox,10
Windows version and browser,Department of Agriculture,1/26/24,564,Opera,10
Windows version and browser,Department of Agriculture,1/26/24,323,Chrome,7
Windows version and browser,Department of Agriculture,1/26/24,245,Firefox,7
Windows version and browser,Department of Agriculture,1/26/24,204,Chrome,8.1
Windows version and browser,Department of Agriculture,1/26/24,180,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/26/24,104,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/25/24,193208,Chrome,10
Windows version and browser,Department of Agriculture,1/25/24,73178,Edge,10
Windows version and browser,Department of Agriculture,1/25/24,7048,Firefox,10
Windows version and browser,Department of Agriculture,1/25/24,630,Opera,10
Windows version and browser,Department of Agriculture,1/25/24,514,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/25/24,366,Firefox,7
Windows version and browser,Department of Agriculture,1/25/24,293,Chrome,7
Windows version and browser,Department of Agriculture,1/25/24,225,Chrome,8.1
Windows version and browser,Department of Agriculture,1/25/24,107,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/24/24,166929,Chrome,10
Windows version and browser,Department of Agriculture,1/24/24,71850,Edge,10
Windows version and browser,Department of Agriculture,1/24/24,7242,Firefox,10
Windows version and browser,Department of Agriculture,1/24/24,649,Opera,10
Windows version and browser,Department of Agriculture,1/24/24,350,Firefox,7
Windows version and browser,Department of Agriculture,1/24/24,314,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/24/24,289,Chrome,7
Windows version and browser,Department of Agriculture,1/24/24,198,Chrome,8.1
Windows version and browser,Department of Agriculture,1/24/24,122,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/23/24,176965,Chrome,10
Windows version and browser,Department of Agriculture,1/23/24,74191,Edge,10
Windows version and browser,Department of Agriculture,1/23/24,7338,Firefox,10
Windows version and browser,Department of Agriculture,1/23/24,627,Opera,10
Windows version and browser,Department of Agriculture,1/23/24,294,Chrome,7
Windows version and browser,Department of Agriculture,1/23/24,276,Firefox,7
Windows version and browser,Department of Agriculture,1/23/24,262,Chrome,8.1
Windows version and browser,Department of Agriculture,1/23/24,116,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/22/24,180054,Chrome,10
Windows version and browser,Department of Agriculture,1/22/24,77819,Edge,10
Windows version and browser,Department of Agriculture,1/22/24,7278,Firefox,10
Windows version and browser,Department of Agriculture,1/22/24,655,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/22/24,649,Opera,10
Windows version and browser,Department of Agriculture,1/22/24,513,Firefox,7
Windows version and browser,Department of Agriculture,1/22/24,410,Chrome,7
Windows version and browser,Department of Agriculture,1/22/24,247,Chrome,8.1
Windows version and browser,Department of Agriculture,1/22/24,105,Edge,7
Windows version and browser,Department of Agriculture,1/21/24,50909,Chrome,10
Windows version and browser,Department of Agriculture,1/21/24,17687,Edge,10
Windows version and browser,Department of Agriculture,1/21/24,3469,Firefox,10
Windows version and browser,Department of Agriculture,1/21/24,517,Opera,10
Windows version and browser,Department of Agriculture,1/21/24,359,Chrome,7
Windows version and browser,Department of Agriculture,1/21/24,308,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/21/24,191,Firefox,7
Windows version and browser,Department of Agriculture,1/21/24,170,Chrome,8.1
Windows version and browser,Department of Agriculture,1/20/24,43625,Chrome,10
Windows version and browser,Department of Agriculture,1/20/24,15354,Edge,10
Windows version and browser,Department of Agriculture,1/20/24,3024,Firefox,10
Windows version and browser,Department of Agriculture,1/20/24,427,Opera,10
Windows version and browser,Department of Agriculture,1/20/24,297,Chrome,7
Windows version and browser,Department of Agriculture,1/20/24,263,Firefox,7
Windows version and browser,Department of Agriculture,1/20/24,155,Chrome,8.1
Windows version and browser,Department of Agriculture,1/19/24,154120,Chrome,10
Windows version and browser,Department of Agriculture,1/19/24,61281,Edge,10
Windows version and browser,Department of Agriculture,1/19/24,6669,Firefox,10
Windows version and browser,Department of Agriculture,1/19/24,832,Opera,10
Windows version and browser,Department of Agriculture,1/19/24,784,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/19/24,761,Firefox,7
Windows version and browser,Department of Agriculture,1/19/24,624,Chrome,7
Windows version and browser,Department of Agriculture,1/19/24,224,Chrome,8.1
Windows version and browser,Department of Agriculture,1/19/24,113,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/19/24,111,Edge,7
Windows version and browser,Department of Agriculture,1/18/24,186971,Chrome,10
Windows version and browser,Department of Agriculture,1/18/24,74508,Edge,10
Windows version and browser,Department of Agriculture,1/18/24,8179,Firefox,10
Windows version and browser,Department of Agriculture,1/18/24,1832,Opera,10
Windows version and browser,Department of Agriculture,1/18/24,936,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/18/24,382,Firefox,7
Windows version and browser,Department of Agriculture,1/18/24,267,Chrome,7
Windows version and browser,Department of Agriculture,1/18/24,246,Chrome,8.1
Windows version and browser,Department of Agriculture,1/18/24,138,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/17/24,175848,Chrome,10
Windows version and browser,Department of Agriculture,1/17/24,71897,Edge,10
Windows version and browser,Department of Agriculture,1/17/24,7383,Firefox,10
Windows version and browser,Department of Agriculture,1/17/24,998,Opera,10
Windows version and browser,Department of Agriculture,1/17/24,420,Firefox,7
Windows version and browser,Department of Agriculture,1/17/24,360,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/17/24,292,Chrome,7
Windows version and browser,Department of Agriculture,1/17/24,243,Chrome,8.1
Windows version and browser,Department of Agriculture,1/17/24,137,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/17/24,101,Edge,7
Windows version and browser,Department of Agriculture,1/16/24,168269,Chrome,10
Windows version and browser,Department of Agriculture,1/16/24,72715,Edge,10
Windows version and browser,Department of Agriculture,1/16/24,8570,Firefox,10
Windows version and browser,Department of Agriculture,1/16/24,2089,Opera,10
Windows version and browser,Department of Agriculture,1/16/24,695,Chrome,7
Windows version and browser,Department of Agriculture,1/16/24,580,Firefox,7
Windows version and browser,Department of Agriculture,1/16/24,297,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/16/24,249,Chrome,8.1
Windows version and browser,Department of Agriculture,1/16/24,124,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/15/24,86420,Chrome,10
Windows version and browser,Department of Agriculture,1/15/24,30944,Edge,10
Windows version and browser,Department of Agriculture,1/15/24,6354,Firefox,10
Windows version and browser,Department of Agriculture,1/15/24,1576,Opera,10
Windows version and browser,Department of Agriculture,1/15/24,756,Chrome,7
Windows version and browser,Department of Agriculture,1/15/24,310,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/15/24,288,Firefox,7
Windows version and browser,Department of Agriculture,1/15/24,272,Chrome,8.1
Windows version and browser,Department of Agriculture,1/14/24,45186,Chrome,10
Windows version and browser,Department of Agriculture,1/14/24,15142,Edge,10
Windows version and browser,Department of Agriculture,1/14/24,3829,Firefox,10
Windows version and browser,Department of Agriculture,1/14/24,1051,Opera,10
Windows version and browser,Department of Agriculture,1/14/24,655,Firefox,7
Windows version and browser,Department of Agriculture,1/14/24,622,Chrome,7
Windows version and browser,Department of Agriculture,1/14/24,149,Chrome,8.1
Windows version and browser,Department of Agriculture,1/13/24,43706,Chrome,10
Windows version and browser,Department of Agriculture,1/13/24,15416,Edge,10
Windows version and browser,Department of Agriculture,1/13/24,3723,Firefox,10
Windows version and browser,Department of Agriculture,1/13/24,858,Opera,10
Windows version and browser,Department of Agriculture,1/13/24,369,Firefox,7
Windows version and browser,Department of Agriculture,1/13/24,337,Chrome,7
Windows version and browser,Department of Agriculture,1/13/24,233,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/13/24,153,Chrome,8.1
Windows version and browser,Department of Agriculture,1/12/24,191345,Chrome,10
Windows version and browser,Department of Agriculture,1/12/24,58428,Edge,10
Windows version and browser,Department of Agriculture,1/12/24,6547,Firefox,10
Windows version and browser,Department of Agriculture,1/12/24,658,Opera,10
Windows version and browser,Department of Agriculture,1/12/24,507,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/12/24,371,Firefox,7
Windows version and browser,Department of Agriculture,1/12/24,362,Chrome,7
Windows version and browser,Department of Agriculture,1/12/24,283,Chrome,8.1
Windows version and browser,Department of Agriculture,1/12/24,116,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/12/24,104,Edge,7
Windows version and browser,Department of Agriculture,1/11/24,159530,Chrome,10
Windows version and browser,Department of Agriculture,1/11/24,69085,Edge,10
Windows version and browser,Department of Agriculture,1/11/24,6940,Firefox,10
Windows version and browser,Department of Agriculture,1/11/24,982,Firefox,7
Windows version and browser,Department of Agriculture,1/11/24,668,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/11/24,601,Opera,10
Windows version and browser,Department of Agriculture,1/11/24,470,Chrome,7
Windows version and browser,Department of Agriculture,1/11/24,248,Chrome,8.1
Windows version and browser,Department of Agriculture,1/11/24,138,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/10/24,160403,Chrome,10
Windows version and browser,Department of Agriculture,1/10/24,67911,Edge,10
Windows version and browser,Department of Agriculture,1/10/24,7148,Firefox,10
Windows version and browser,Department of Agriculture,1/10/24,731,Firefox,7
Windows version and browser,Department of Agriculture,1/10/24,611,Opera,10
Windows version and browser,Department of Agriculture,1/10/24,525,Chrome,7
Windows version and browser,Department of Agriculture,1/10/24,255,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/10/24,225,Chrome,8.1
Windows version and browser,Department of Agriculture,1/10/24,159,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/9/24,160225,Chrome,10
Windows version and browser,Department of Agriculture,1/9/24,67580,Edge,10
Windows version and browser,Department of Agriculture,1/9/24,6808,Firefox,10
Windows version and browser,Department of Agriculture,1/9/24,624,Opera,10
Windows version and browser,Department of Agriculture,1/9/24,555,Firefox,7
Windows version and browser,Department of Agriculture,1/9/24,325,Chrome,7
Windows version and browser,Department of Agriculture,1/9/24,203,Chrome,8.1
Windows version and browser,Department of Agriculture,1/9/24,185,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/9/24,138,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/8/24,156741,Chrome,10
Windows version and browser,Department of Agriculture,1/8/24,72261,Edge,10
Windows version and browser,Department of Agriculture,1/8/24,6887,Firefox,10
Windows version and browser,Department of Agriculture,1/8/24,613,Opera,10
Windows version and browser,Department of Agriculture,1/8/24,549,Chrome,7
Windows version and browser,Department of Agriculture,1/8/24,416,Firefox,7
Windows version and browser,Department of Agriculture,1/8/24,296,Chrome,8.1
Windows version and browser,Department of Agriculture,1/8/24,106,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/7/24,47858,Chrome,10
Windows version and browser,Department of Agriculture,1/7/24,15208,Edge,10
Windows version and browser,Department of Agriculture,1/7/24,3271,Firefox,10
Windows version and browser,Department of Agriculture,1/7/24,500,Opera,10
Windows version and browser,Department of Agriculture,1/7/24,297,Chrome,7
Windows version and browser,Department of Agriculture,1/7/24,227,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/7/24,204,Firefox,7
Windows version and browser,Department of Agriculture,1/7/24,159,Chrome,8.1
Windows version and browser,Department of Agriculture,1/6/24,39778,Chrome,10
Windows version and browser,Department of Agriculture,1/6/24,13910,Edge,10
Windows version and browser,Department of Agriculture,1/6/24,3174,Firefox,10
Windows version and browser,Department of Agriculture,1/6/24,459,Opera,10
Windows version and browser,Department of Agriculture,1/6/24,336,Chrome,7
Windows version and browser,Department of Agriculture,1/6/24,323,Firefox,7
Windows version and browser,Department of Agriculture,1/6/24,129,Chrome,8.1
Windows version and browser,Department of Agriculture,1/5/24,143997,Chrome,10
Windows version and browser,Department of Agriculture,1/5/24,54641,Edge,10
Windows version and browser,Department of Agriculture,1/5/24,5997,Firefox,10
Windows version and browser,Department of Agriculture,1/5/24,727,Firefox,7
Windows version and browser,Department of Agriculture,1/5/24,470,Opera,10
Windows version and browser,Department of Agriculture,1/5/24,433,Chrome,7
Windows version and browser,Department of Agriculture,1/5/24,320,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/5/24,243,Chrome,8.1
Windows version and browser,Department of Agriculture,1/5/24,143997,Chrome,10
Windows version and browser,Department of Agriculture,1/5/24,54641,Edge,10
Windows version and browser,Department of Agriculture,1/5/24,5997,Firefox,10
Windows version and browser,Department of Agriculture,1/5/24,727,Firefox,7
Windows version and browser,Department of Agriculture,1/5/24,470,Opera,10
Windows version and browser,Department of Agriculture,1/5/24,433,Chrome,7
Windows version and browser,Department of Agriculture,1/5/24,320,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/5/24,243,Chrome,8.1
Windows version and browser,Department of Agriculture,1/4/24,143293,Chrome,10
Windows version and browser,Department of Agriculture,1/4/24,65388,Edge,10
Windows version and browser,Department of Agriculture,1/4/24,6701,Firefox,10
Windows version and browser,Department of Agriculture,1/4/24,845,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/4/24,535,Opera,10
Windows version and browser,Department of Agriculture,1/4/24,466,Chrome,7
Windows version and browser,Department of Agriculture,1/4/24,320,Firefox,7
Windows version and browser,Department of Agriculture,1/4/24,229,Chrome,8.1
Windows version and browser,Department of Agriculture,1/4/24,116,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/3/24,149409,Chrome,10
Windows version and browser,Department of Agriculture,1/3/24,67378,Edge,10
Windows version and browser,Department of Agriculture,1/3/24,6515,Firefox,10
Windows version and browser,Department of Agriculture,1/3/24,563,Firefox,7
Windows version and browser,Department of Agriculture,1/3/24,521,Opera,10
Windows version and browser,Department of Agriculture,1/3/24,374,Chrome,7
Windows version and browser,Department of Agriculture,1/3/24,371,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/3/24,224,Chrome,8.1
Windows version and browser,Department of Agriculture,1/3/24,102,Edge,7
Windows version and browser,Department of Agriculture,1/3/24,101,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/2/24,126668,Chrome,10
Windows version and browser,Department of Agriculture,1/2/24,65036,Edge,10
Windows version and browser,Department of Agriculture,1/2/24,6319,Firefox,10
Windows version and browser,Department of Agriculture,1/2/24,580,Firefox,7
Windows version and browser,Department of Agriculture,1/2/24,489,Opera,10
Windows version and browser,Department of Agriculture,1/2/24,299,Chrome,7
Windows version and browser,Department of Agriculture,1/2/24,253,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/2/24,221,Chrome,8.1
Windows version and browser,Department of Agriculture,1/2/24,126,Internet Explorer,10
Windows version and browser,Department of Agriculture,1/1/24,38426,Chrome,10
Windows version and browser,Department of Agriculture,1/1/24,12985,Edge,10
Windows version and browser,Department of Agriculture,1/1/24,2918,Firefox,10
Windows version and browser,Department of Agriculture,1/1/24,441,Chrome,7
Windows version and browser,Department of Agriculture,1/1/24,427,Opera,10
Windows version and browser,Department of Agriculture,1/1/24,362,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,1/1/24,290,Chrome,8.1
Windows version and browser,Department of Agriculture,1/1/24,223,Firefox,7
Windows version and browser,Department of Agriculture,2/29/24,183080,Chrome,10
Windows version and browser,Department of Agriculture,2/29/24,78746,Edge,10
Windows version and browser,Department of Agriculture,2/29/24,7602,Firefox,10
Windows version and browser,Department of Agriculture,2/29/24,728,Opera,10
Windows version and browser,Department of Agriculture,2/29/24,496,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/29/24,482,Chrome,7
Windows version and browser,Department of Agriculture,2/29/24,405,Firefox,7
Windows version and browser,Department of Agriculture,2/29/24,252,Chrome,8.1
Windows version and browser,Department of Agriculture,2/29/24,140,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/29/24,113,Edge,7
Windows version and browser,Department of Agriculture,2/28/24,175940,Chrome,10
Windows version and browser,Department of Agriculture,2/28/24,77805,Edge,10
Windows version and browser,Department of Agriculture,2/28/24,7958,Firefox,10
Windows version and browser,Department of Agriculture,2/28/24,741,Opera,10
Windows version and browser,Department of Agriculture,2/28/24,613,Chrome,7
Windows version and browser,Department of Agriculture,2/28/24,369,Firefox,7
Windows version and browser,Department of Agriculture,2/28/24,195,Chrome,8.1
Windows version and browser,Department of Agriculture,2/27/24,178713,Chrome,10
Windows version and browser,Department of Agriculture,2/27/24,78691,Edge,10
Windows version and browser,Department of Agriculture,2/27/24,8166,Firefox,10
Windows version and browser,Department of Agriculture,2/27/24,797,Opera,10
Windows version and browser,Department of Agriculture,2/27/24,570,Firefox,7
Windows version and browser,Department of Agriculture,2/27/24,459,Chrome,7
Windows version and browser,Department of Agriculture,2/27/24,372,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/27/24,254,Chrome,8.1
Windows version and browser,Department of Agriculture,2/27/24,118,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/27/24,105,Edge,7
Windows version and browser,Department of Agriculture,2/26/24,185634,Chrome,10
Windows version and browser,Department of Agriculture,2/26/24,79873,Edge,10
Windows version and browser,Department of Agriculture,2/26/24,7891,Firefox,10
Windows version and browser,Department of Agriculture,2/26/24,761,Opera,10
Windows version and browser,Department of Agriculture,2/26/24,371,Firefox,7
Windows version and browser,Department of Agriculture,2/26/24,334,Chrome,7
Windows version and browser,Department of Agriculture,2/26/24,300,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/26/24,226,Chrome,8.1
Windows version and browser,Department of Agriculture,2/26/24,114,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/25/24,53634,Chrome,10
Windows version and browser,Department of Agriculture,2/25/24,18751,Edge,10
Windows version and browser,Department of Agriculture,2/25/24,3626,Firefox,10
Windows version and browser,Department of Agriculture,2/25/24,578,Opera,10
Windows version and browser,Department of Agriculture,2/25/24,225,Chrome,7
Windows version and browser,Department of Agriculture,2/25/24,215,Firefox,7
Windows version and browser,Department of Agriculture,2/25/24,189,Chrome,8.1
Windows version and browser,Department of Agriculture,2/25/24,120,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/24/24,44484,Chrome,10
Windows version and browser,Department of Agriculture,2/24/24,14978,Edge,10
Windows version and browser,Department of Agriculture,2/24/24,3255,Firefox,10
Windows version and browser,Department of Agriculture,2/24/24,486,Opera,10
Windows version and browser,Department of Agriculture,2/24/24,337,Firefox,7
Windows version and browser,Department of Agriculture,2/24/24,157,Chrome,7
Windows version and browser,Department of Agriculture,2/24/24,154,Chrome,8.1
Windows version and browser,Department of Agriculture,2/23/24,165900,Chrome,10
Windows version and browser,Department of Agriculture,2/23/24,59562,Edge,10
Windows version and browser,Department of Agriculture,2/23/24,6339,Firefox,10
Windows version and browser,Department of Agriculture,2/23/24,625,Opera,10
Windows version and browser,Department of Agriculture,2/23/24,317,Firefox,7
Windows version and browser,Department of Agriculture,2/23/24,260,Chrome,7
Windows version and browser,Department of Agriculture,2/23/24,209,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/23/24,193,Chrome,8.1
Windows version and browser,Department of Agriculture,2/22/24,221473,Chrome,10
Windows version and browser,Department of Agriculture,2/22/24,73299,Edge,10
Windows version and browser,Department of Agriculture,2/22/24,7415,Firefox,10
Windows version and browser,Department of Agriculture,2/22/24,654,Opera,10
Windows version and browser,Department of Agriculture,2/22/24,599,Chrome,7
Windows version and browser,Department of Agriculture,2/22/24,382,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/22/24,286,Firefox,7
Windows version and browser,Department of Agriculture,2/22/24,208,Chrome,8.1
Windows version and browser,Department of Agriculture,2/21/24,178645,Chrome,10
Windows version and browser,Department of Agriculture,2/21/24,75668,Edge,10
Windows version and browser,Department of Agriculture,2/21/24,7717,Firefox,10
Windows version and browser,Department of Agriculture,2/21/24,718,Opera,10
Windows version and browser,Department of Agriculture,2/21/24,635,Chrome,7
Windows version and browser,Department of Agriculture,2/21/24,437,Firefox,7
Windows version and browser,Department of Agriculture,2/21/24,225,Chrome,8.1
Windows version and browser,Department of Agriculture,2/21/24,130,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/20/24,193784,Chrome,10
Windows version and browser,Department of Agriculture,2/20/24,80255,Edge,10
Windows version and browser,Department of Agriculture,2/20/24,7811,Firefox,10
Windows version and browser,Department of Agriculture,2/20/24,710,Opera,10
Windows version and browser,Department of Agriculture,2/20/24,577,Chrome,7
Windows version and browser,Department of Agriculture,2/20/24,353,Firefox,7
Windows version and browser,Department of Agriculture,2/20/24,198,Chrome,8.1
Windows version and browser,Department of Agriculture,2/20/24,106,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/19/24,109938,Chrome,10
Windows version and browser,Department of Agriculture,2/19/24,39592,Edge,10
Windows version and browser,Department of Agriculture,2/19/24,6428,Firefox,10
Windows version and browser,Department of Agriculture,2/19/24,714,Opera,10
Windows version and browser,Department of Agriculture,2/19/24,541,Chrome,7
Windows version and browser,Department of Agriculture,2/19/24,378,Firefox,7
Windows version and browser,Department of Agriculture,2/19/24,249,Chrome,8.1
Windows version and browser,Department of Agriculture,2/18/24,57355,Chrome,10
Windows version and browser,Department of Agriculture,2/18/24,18357,Edge,10
Windows version and browser,Department of Agriculture,2/18/24,3588,Firefox,10
Windows version and browser,Department of Agriculture,2/18/24,554,Opera,10
Windows version and browser,Department of Agriculture,2/18/24,487,Chrome,7
Windows version and browser,Department of Agriculture,2/18/24,384,Firefox,7
Windows version and browser,Department of Agriculture,2/18/24,331,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/18/24,156,Chrome,8.1
Windows version and browser,Department of Agriculture,2/17/24,44850,Chrome,10
Windows version and browser,Department of Agriculture,2/17/24,16034,Edge,10
Windows version and browser,Department of Agriculture,2/17/24,3292,Firefox,10
Windows version and browser,Department of Agriculture,2/17/24,479,Opera,10
Windows version and browser,Department of Agriculture,2/17/24,477,Chrome,7
Windows version and browser,Department of Agriculture,2/17/24,232,Firefox,7
Windows version and browser,Department of Agriculture,2/17/24,159,Chrome,8.1
Windows version and browser,Department of Agriculture,2/16/24,164396,Chrome,10
Windows version and browser,Department of Agriculture,2/16/24,58377,Edge,10
Windows version and browser,Department of Agriculture,2/16/24,6393,Firefox,10
Windows version and browser,Department of Agriculture,2/16/24,629,Opera,10
Windows version and browser,Department of Agriculture,2/16/24,478,Chrome,7
Windows version and browser,Department of Agriculture,2/16/24,303,Firefox,7
Windows version and browser,Department of Agriculture,2/16/24,182,Chrome,8.1
Windows version and browser,Department of Agriculture,2/16/24,102,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/15/24,246355,Chrome,10
Windows version and browser,Department of Agriculture,2/15/24,72136,Edge,10
Windows version and browser,Department of Agriculture,2/15/24,7589,Firefox,10
Windows version and browser,Department of Agriculture,2/15/24,780,Opera,10
Windows version and browser,Department of Agriculture,2/15/24,501,Chrome,7
Windows version and browser,Department of Agriculture,2/15/24,345,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/15/24,327,Firefox,7
Windows version and browser,Department of Agriculture,2/15/24,234,Chrome,8.1
Windows version and browser,Department of Agriculture,2/14/24,181065,Chrome,10
Windows version and browser,Department of Agriculture,2/14/24,70284,Edge,10
Windows version and browser,Department of Agriculture,2/14/24,7271,Firefox,10
Windows version and browser,Department of Agriculture,2/14/24,1136,Internet Explorer,8
Windows version and browser,Department of Agriculture,2/14/24,644,Opera,10
Windows version and browser,Department of Agriculture,2/14/24,332,Mozilla Compatible Agent,10
Windows version and browser,Department of Agriculture,2/14/24,248,Chrome,7
Windows version and browser,Department of Agriculture,2/14/24,244,Firefox,7
Windows version and browser,Department of Agriculture,2/14/24,169,Chrome,8.1
Windows version and browser,Department of Agriculture,2/13/24,238016,Chrome,10
Windows version and browser,Department of Agriculture,2/13/24,76688,Edge,10
Windows version and browser,Department of Agriculture,2/13/24,7653,Firefox,10
Windows version and browser,Department of Agriculture,2/13/24,691,Opera,10
Windows version and browser,Department of Agriculture,2/13/24,628,Internet Explorer,8
Windows version and browser,Department of Agriculture,2/13/24,484,Chrome,7
Windows version and browser,Department of Agriculture,2/13/24,325,Firefox,7
Windows version and browser,Department of Agriculture,2/13/24,200,Chrome,8.1
Windows version and browser,Department of Agriculture,2/13/24,104,Internet Explorer,10
Windows version and browser,Department of Agriculture,2/12/24,201756,Chrome,10
Windows version and browser,Department of Agriculture,2/12/24,74728,Edge,10
Windows version and browser,Department of Agriculture,2/12/24,7606,Firefox,10
Windows version and browser,Department of Agriculture,2/12/24,743,Opera,10
Windows version and browser,Department of Agriculture,2/12/24,324,Chrome,7
Windows version and browser,Department of Agriculture,2/12/24,320,Firefox,7
